,name
0,Namibia
1,Union of India
2,Cochinchina
3,Federation of Rhodesia and Nyasaland
4,Ruanda-Urundi
5,Southern Cameroons
6,Western Sahara
7,British Somaliland
8,Trust Territory of Somalia
9,Spanish West Africa
10,Saint Christopher-Nevis-Anguilla
11,Protectorate of South Arabia
12,North Borneo
13,Crown Colony of Sarawak
14,French West Africa
15,French Equatorial Africa
16,Dominion of Newfoundland
17,Emirate of Cyrenaica
18,T
19,British Military Administration of Libya
20,Fezzan-Ghadames
21,British Togoland
22,Gold Coast
23,French Madagascar
24,Japan
25,occupation of Japan
26,Republic of the Congo
27,Nigeria
28,Spanish Sahara
29,Spanish Protectorate in Morocco
30,French protectorate in Morocco
31,French occupation zone
32,West Germany
33,Japanese occupation of the Dutch East Indies
34,Japanese occupation of Indonesia
35,Hyderabad State
36,British occupation of Italian Somaliland
37,Italian Somalia
38,Vatican City
39,Denmark
40,India
41,Portuguese India
42,K
43,Israel
44,Mandatory Palestine
45,Dominion of India
46,French occupation zone in Austria
47,American occupation zone in Austria
48,Soviet occupation zone in Austria
49,British occupation zone in Austria
50,British Raj
51,Iraq
52,Trust Territory of New Guinea
53,Annam
54,Territory of Papua
55,Tonkin
56,Korea under Japanese rule
57,South Georgia and the South Sandwich Islands
58,Falkland Islands Dependencies
59,French Guiana
60,Inini
61,Ukraine
62,Republic of Crimea
63,Gibraltar
64,Monaco
65,Cocos (Keeling) Islands
66,British Cocos Islands
67,British Virgin Islands
68,Saint-BarthÃ©lemy
69,Nauru
70,Japanese occupation of Nauru
71,Trust Territory of Nauru
72,Tuvalu
73,Territory of Tuvalu
74,Gilbert and Ellice Islands
75,Portuguese Macau
76,Macau
77,Maldives
78,Sint Maarten
79,Marshall Islands
80,Norfolk Island
81,Bermuda
82,Saint Martin
83,Pitcairn Islands
84,San Marino
85,Guernsey
86,Anguilla
87,Crown colony of Labuan
88,Jersey
89,Saint Helena
90,Christmas Island
91,Liechtenstein
92,Aruba
93,Saint Kitts and Nevis
94,American Samoa
95,Tristan da Cunha
96,Cook Islands
97,Protectorate of Cook Islands
98,Saint Pierre and Miquelon
99,Akrotiri and Dhekelia
100,Niue
101,Colony of Niue
102,Cayman Islands
103,Wallis and Futuna
104,Malta
105,Malta Colony
106,Caribbean Netherlands
107,Saint Vincent and the Grenadines
108,Saint Vincent
109,Grenada
110,All-Palestine Government
111,Egyptian Gaza
112,Mayotte
113,Seychelles
114,Colony of Seychelles
115,Palau
116,Trust Territory of the Pacific Islands
117,Kiribati
118,United States Virgin Islands
119,CuraÃ§ao
120,Barbados
121,Northern Mariana Islands
122,Tonga
123,British Tonga
124,Andorra
125,French India
126,Federated States of Micronesia
127,South Pacific Mandate
128,Antigua and Barbuda
129,Colony of Antigua
130,Guam
131,Singapore
132,Colony of Singapore
133,Japanese-occupied Singapore
134,Isle of Man
135,Turks and Caicos Islands
136,Saint Lucia
137,Bahrain
138,Protectorate of Bahrain
139,Dominica
140,Netherlands Antilles
141,Montserrat
142,British Leeward Islands
143,Hong Kong
144,British Hong Kong
145,Japanese occupation of Hong Kong
146,Martinique
147,Sao Tome and Principe
148,Portuguese SÃ£o TomÃ© and PrÃ­ncipe
149,CuraÃ§ao and Dependencies
150,Faroe Islands
151,Panama Canal Zone
152,Ã…land Islands
153,Guadeloupe
154,Comoros
155,British Windward Islands
156,Mauritius
157,British Mauritius
158,RÃ©union
159,Saar Protectorate
160,Luxembourg
161,People's Republic of Zanzibar and Pemba
162,Sultanate of Zanzibar
163,Italian Dodecanese
164,German Samoa
165,Samoa
166,Western Samoa Trust Territory
167,Turkish Republic of Northern Cyprus
168,Cape Verde
169,Portuguese Cape Verde
170,Transnistria
171,French Polynesia
172,US occupation of Ryukyu Islands
173,Colony of Trinidad and Tobago
174,Trinidad and Tobago
175,Brunei
176,Protectorate of Brunei
177,Protectorate of Brunei (1945â€“1959)
178,Jordan West Bank
179,Cyprus
180,Palestinian National Authority
181,Sikkim
182,British Cameroons
183,Abkhazia
184,Puerto Rico
185,British Cyprus
186,Lebanon
187,State of Greater Lebanon
188,Kosovo
189,Gambia
