,id,name,sdate,edate
0,1,['Namibia'],3/21/1990,2/27/1994
1,2,['Union of India'],9/19/1948,12/31/1948
2,3,['Cochinchina'],8/23/1945,6/13/1949
3,4,['Federation of Rhodesia and Nyasaland'],8/1/1953,12/31/1963
4,5,['Ruanda-Urundi'],11/1/1922,6/30/1962
5,6,['Southern Cameroons'],6/1/1961,10/1/1961
6,7,['Western Sahara'],1/1/1979,9
7,8,['British Somaliland'],6/26/1960,6/30/1960
8,9,['Trust Territory of Somalia'],11/1/1949,6/30/1960
9,10,['Spanish West Africa'],1/1/1934,1/11/1958
10,11,['Saint Christopher-Nevis-Anguilla'],1/4/1958,12/17/1980
11,12,['Protectorate of South Arabia'],1/18/1963,11/29/1967
12,13,['North Borneo'],8/15/1945,7/14/1946
13,14,['Crown Colony of Sarawak'],8/15/1945,9/16/1963
14,15,['French West Africa'],1/1/1945,10/4/1958
15,16,['French Equatorial Africa'],11/12/1940,11/30/1958
16,17,['Dominion of Newfoundland'],1/1/1907,3/30/1949
17,18,['Emirate of Cyrenaica'],3/1/1949,12/23/1951
18,19,Tripolitania,3/1/1949,12/23/1951
19,20,['British Military Administration of Libya'],11/1/1942,2/28/1949
20,21,['Fezzan-Ghadames'],1/1/1943,12/23/1951
21,22,['British Togoland'],7/20/1922,12/13/1956
22,23,['Gold Coast'],1/1/1901,12/12/1956
23,24,['French Madagascar'],1897-02-28,10/13/1958
24,25,['Japan'],4/28/1952,5/13/1973
25,26,['Japan'],5/14/1973,9
26,27,['occupation of Japan'],8/28/1945,4/27/1952
27,28,['Republic of the Congo'],7/1/1960,1/15/1963
28,29,['Nigeria'],5/30/1967,1/14/1970
29,30,['Spanish Sahara'],1/12/1958,1/3/1969
30,31,['Spanish Sahara'],1/4/1969,2/26/1976
31,32,['Spanish Protectorate in Morocco'],2/27/1913,4/7/1956
32,33,['French protectorate in Morocco'],3/30/1912,3/1/1956
33,34,['French occupation zone'],5/5/1945,12/14/1947
34,35,['West Germany'],5/23/1949,10/27/1956
35,36,['Japanese occupation of the Dutch East Indies'],2/2/1942,9/2/1945
36,37,['Japanese occupation of Indonesia'],2/2/1942,9/2/1945
37,38,['Hyderabad State'],1798-01-01,8/14/1947
38,39,['Hyderabad State'],8/15/1947,9/18/1948
39,40,['British occupation of Italian Somaliland'],11/27/1941,10/31/1949
40,41,['Italian Somalia'],1889-01-01,5/8/1936
41,42,['Vatican City'],2/11/1929,9
42,43,['Denmark'],4/1/1948,4/30/1979
43,44,['Denmark'],5/9/1945,3/30/1948
44,45,['India'],12/19/1961,5/16/1975
45,46,['India'],11/1/1954,12/18/1961
46,47,['Portuguese India'],1814-01-01,10/30/1954
47,48,['India'],1/26/1950,10/30/1954
48,49,Kashmir,8/15/1947,12/31/1948
49,50,['Israel'],5/4/1994,9
50,51,['Mandatory Palestine'],4/25/1920,5/13/1948
51,52,['Dominion of India'],1/1/1949,1/25/1950
52,53,['Dominion of India'],8/15/1947,9/18/1948
53,54,['French occupation zone in Austria'],4/27/1945,5/15/1955
54,55,['American occupation zone in Austria'],4/27/1945,5/15/1955
55,56,['Soviet occupation zone in Austria'],4/27/1945,5/15/1955
56,57,['British occupation zone in Austria'],4/27/1945,5/15/1955
57,58,['British Raj'],4/12/1937,8/14/1947
58,59,['Iraq'],2/13/1958,8/1/1958
59,60,['Trust Territory of New Guinea'],6/28/1919,12/31/1948
